"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "SCSS", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\admin-user\admin-user.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\admin.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 109, 5, 1, 115
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\admin.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-city\add-edit-city.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-city\add-edit-city.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-city\add-edit-city.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-city\add-edit-city.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-country\add-edit-country.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
